customer_id,first_name,last_name,email,phone_number,gender,age,registration_date,city,state,country,yearly_income,no_of_children
002212c6_rahi6609202302,Rahim,Ali,rahim.ali9@gmail.com,8.80E+11,Other,20,2/12/2023,Narayanganj,Chittagong,Bangladesh,61766.50,"Not Married"
00c6c071_kama0951202311,Kamal,Bhuiyan,kamal.bhuiyan@gmail.com,8.80E+11,F,39,11/2/2023,Khulna,Rangpur,Bangladesh,55961.45,"0 Children"
01547c35_oliv4741202204,Olivia,Brown,olivia.brown3@gmail.com,12084434741,M,20,4/13/2022,Chicago,Pennsylvania,USA,57927.92,"0 Children"
01a09241_tahm5937202212,Tahmina,Chowdhury,tahmina.chowdhury4@gmail.com,8.80E+11,Other,34,12/2/2022,Comilla,Sylhet,Bangladesh,87680.94,"1 or More Children"
01b2a60c_mia.2242202303,Mia,Brown,mia.brown5@gmail.com,19024232242,M,40,3/24/2023,Calgary,Quebec,Canada,73756.03,"1 or More Children"
01b68f76_sofi8707202303,Sofia,Russo,sofia.russo3@gmail.com,3.91E+11,M,43,3/4/2023,Milan,Emilia-Romagna,Italy,103066.08,"0 Children"
01d99d30_anja6355202212,Anjali,Sharma,anjali.sharma3@gmail.com,9.11E+11,F,50,12/19/2022,Mumbai,Maharashtra,India,116387.60,"1 or More Children"
01de25d2_min.7839202209,Min,Ng,min.ng7@gmail.com,6531967839,M,58,9/3/2022,Singapore,Singapore,Singapore,112812.61,"Not Married"
020944d7_isab7682202301,Isabella,Clark,isabella.clark13@gmail.com,19375717682,M,59,1/3/2023,Calgary,Saskatchewan,Canada,106285.54,"1 or More Children"
02557df6_char2436202308,Charlotte,Anderson,charlotte.anderson10@gmail.com,17359392436,F,23,8/12/2023,Montreal,Manitoba,Canada,39250.68,"0 Children"
0267a1e2_ales7718202203,Alessia,Romano,alessia.romano3@gmail.com,3.91E+11,M,28,3/20/2022,Verona,Tuscany,Italy,56514.20,"Not Married"
0320eb84_hiro7292202306,Hiroshi,Sato,hiroshi.sato@gmail.com,8.12E+11,F,40,6/27/2023,Nagoya,Hokkaido,Japan,84004.23,"1 or More Children"
032998b5_thom9290202203,Thomas,Wagner,thomas.wagner12@gmail.com,4.99E+11,F,39,3/31/2022,DÃ¼sseldorf,"Lower Saxony",Germany,45144.16,"0 Children"
039e07d7_mich4243202307,Michael,Williams,michael.williams8@gmail.com,18247014243,F,52,7/19/2023,"San Antonio",Pennsylvania,USA,82067.43,"Not Married"
03bcb820_char9257202201,Charlotte,Anderson,charlotte.anderson8@gmail.com,15038689257,M,39,1/25/2022,Edmonton,"New Brunswick",Canada,84860.59,"0 Children"
040fd708_ling2403202304,Ling,Wong,ling.wong2@gmail.com,6581842403,F,40,4/18/2023,Singapore,Singapore,Singapore,146272.81,"0 Children"
04220ea3_fati3151202207,Fatima,Hossain,fatima.hossain7@gmail.com,8.80E+11,M,22,7/9/2022,Rajshahi,Mymensingh,Bangladesh,117998.20,"Not Married"
04573b2f_kavi7990202204,Kavita,Malik,kavita.malik6@gmail.com,9.17E+11,F,61,4/10/2022,Hyderabad,Delhi,India,51385.06,"1 or More Children"
04e50ef3_ren.2231202305,Ren,Watanabe,ren.watanabe4@gmail.com,8.18E+11,F,51,5/4/2023,Tokyo,Fukuoka,Japan,149913.53,"0 Children"
05044f8b_oliv0110202203,Oliver,Brown,oliver.brown11@gmail.com,6157380110,Other,34,3/3/2022,Perth,Victoria,Australia,63469.38,"Not Married"
052b4320_xin.1570202306,Xin,Koh,xin.koh9@gmail.com,6589101570,F,57,6/1/2023,Singapore,Singapore,Singapore,39485.82,"Not Married"
057aaf16_liam1798202208,Liam,Martin,liam.martin11@gmail.com,19918051798,F,57,8/6/2022,Ottawa,"Nova Scotia",Canada,144983.07,"0 Children"
05933f9f_yan.7082202307,Yan,Goh,yan.goh2@gmail.com,6560627082,Other,24,7/8/2023,Singapore,Singapore,Singapore,75524.10,"0 Children"
05b2eaae_ren.1678202204,Ren,Watanabe,ren.watanabe5@gmail.com,8.19E+11,M,18,4/19/2022,Yokohama,Osaka,Japan,39063.50,"Not Married"
06523725_will0211202210,William,Rodriguez,william.rodriguez10@gmail.com,18367470211,F,59,10/31/2022,"San Jose",Georgia,USA,23263.91,"1 or More Children"
06604368_li.t4050202310,Li,Teo,li.teo2@gmail.com,6592934050,F,51,10/18/2023,Singapore,Singapore,Singapore,23517.68,"0 Children"
