order_id,customer_id,order_date,order_status,payment_method,discount_applied,tax_amount,shipping_cost,shipment_date,delivery_date,specific_shipping_address,city,state,country,order_source
002212c6_rahi6609202302_0b6f4,002212c6_rahi6609202302,"2024-01-24 00:00:00",Shipped,"Bank Transfer",37.97,17.76,40.12,"2024-01-25 00:00:00","2024-02-01 00:00:00","19 Main St",NULL,Chittagong,Bangladesh,"Mobile App"
002212c6_rahi6609202302_0fa1c,002212c6_rahi6609202302,"2023-02-28 00:00:00",Pending,"Credit Card",20.20,14.76,7.90,"2023-03-03 00:00:00","2023-03-08 00:00:00","13 Main St",NULL,Chittagong,Bangladesh,"Social Media"
002212c6_rahi6609202302_178f0,002212c6_rahi6609202302,"2023-10-15 00:00:00",Delivered,"Cash on Delivery",39.34,13.91,31.74,"2023-10-18 00:00:00","2023-10-23 00:00:00","63 Main St",NULL,Chittagong,Bangladesh,"Social Media"
002212c6_rahi6609202302_3800b,002212c6_rahi6609202302,"2023-06-09 00:00:00",Shipped,"Cash on Delivery",33.39,14.44,15.10,"2023-06-16 00:00:00","2023-06-15 00:00:00","40 Main St",NULL,Chittagong,Bangladesh,"Social Media"
002212c6_rahi6609202302_45656,002212c6_rahi6609202302,"2023-12-11 00:00:00",Returned,"Cash on Delivery",42.96,5.23,7.20,"2023-12-18 00:00:00","2023-12-18 00:00:00","57 Main St",NULL,Chittagong,Bangladesh,"Mobile App"
002212c6_rahi6609202302_5cee6,002212c6_rahi6609202302,"2024-04-03 00:00:00",Delivered,"Bank Transfer",43.37,12.16,28.47,"2024-04-10 00:00:00","2024-04-14 00:00:00","25 Main St",NULL,Chittagong,Bangladesh,"Mobile App"
002212c6_rahi6609202302_6b033,002212c6_rahi6609202302,"2023-10-19 00:00:00",Cancelled,"Credit Card",19.59,6.16,38.75,"2023-10-22 00:00:00","2023-10-31 00:00:00","20 Main St",NULL,Chittagong,Bangladesh,"Mobile App"
002212c6_rahi6609202302_95b31,002212c6_rahi6609202302,"2024-04-10 00:00:00",Cancelled,"Credit Card",16.40,15.06,33.34,"2024-04-16 00:00:00","2024-04-16 00:00:00","48 Main St",NULL,Chittagong,Bangladesh,"Mobile App"
002212c6_rahi6609202302_a315c,002212c6_rahi6609202302,"2023-05-18 00:00:00",Returned,"Bank Transfer",11.90,15.79,7.99,"2023-05-23 00:00:00","2023-05-30 00:00:00","78 Main St",NULL,Chittagong,Bangladesh,Website
002212c6_rahi6609202302_d2f7c,002212c6_rahi6609202302,"2023-02-02 00:00:00",Pending,"Bank Transfer",36.39,14.07,10.50,"2023-02-05 00:00:00","2023-02-06 00:00:00","79 Main St",NULL,Chittagong,Bangladesh,"Social Media"
002212c6_rahi6609202302_da3f7,002212c6_rahi6609202302,"2023-07-12 00:00:00",Delivered,"Cash on Delivery",19.22,14.89,36.51,"2023-07-13 00:00:00","2023-07-16 00:00:00","7 Main St",NULL,Chittagong,Bangladesh,"Social Media"
002212c6_rahi6609202302_e6a8d,002212c6_rahi6609202302,"2023-07-06 00:00:00",Shipped,PayPal,11.68,12.68,27.02,"2023-07-11 00:00:00","2023-07-12 00:00:00","93 Main St",NULL,Chittagong,Bangladesh,"Mobile App"
00c6c071_kama0951202311_15ce1,00c6c071_kama0951202311,"2024-01-10 00:00:00",Returned,"Bank Transfer",24.73,10.14,12.46,"2024-01-13 00:00:00","2024-01-21 00:00:00","55 Main St",NULL,Rangpur,Bangladesh,"Social Media"
00c6c071_kama0951202311_33829,00c6c071_kama0951202311,"2023-04-25 00:00:00",Returned,"Cash on Delivery",24.88,17.42,28.33,"2023-04-30 00:00:00","2023-05-05 00:00:00","69 Main St",NULL,Rangpur,Bangladesh,"Social Media"
00c6c071_kama0951202311_49d87,00c6c071_kama0951202311,"2023-08-08 00:00:00",Pending,"Credit Card",41.14,11.60,42.29,"2023-08-15 00:00:00","2023-08-21 00:00:00","91 Main St",NULL,Rangpur,Bangladesh,"Mobile App"
00c6c071_kama0951202311_53d72,00c6c071_kama0951202311,"2023-04-22 00:00:00",Shipped,"Credit Card",29.71,14.20,33.60,"2023-04-27 00:00:00","2023-05-05 00:00:00","52 Main St",NULL,Rangpur,Bangladesh,Website
00c6c071_kama0951202311_542c0,00c6c071_kama0951202311,"2023-08-24 00:00:00",Cancelled,"Bank Transfer",5.98,7.51,22.59,"2023-08-27 00:00:00","2023-08-28 00:00:00","48 Main St",NULL,Rangpur,Bangladesh,"Social Media"
00c6c071_kama0951202311_6d006,00c6c071_kama0951202311,"2024-02-17 00:00:00",Cancelled,"Credit Card",25.22,15.38,37.37,"2024-02-21 00:00:00","2024-02-27 00:00:00","33 Main St",NULL,Rangpur,Bangladesh,Website
00c6c071_kama0951202311_8d8dc,00c6c071_kama0951202311,"2023-08-14 00:00:00",Shipped,"Cash on Delivery",20.02,18.37,18.58,"2023-08-20 00:00:00","2023-08-20 00:00:00","66 Main St",NULL,Rangpur,Bangladesh,Website
00c6c071_kama0951202311_bbe63,00c6c071_kama0951202311,"2024-01-08 00:00:00",Delivered,PayPal,27.66,15.82,5.54,"2024-01-12 00:00:00","2024-01-16 00:00:00","82 Main St",NULL,Rangpur,Bangladesh,"Mobile App"
00c6c071_kama0951202311_bda16,00c6c071_kama0951202311,"2024-03-15 00:00:00",Shipped,"Credit Card",47.35,14.57,20.49,"2024-03-21 00:00:00","2024-03-28 00:00:00","99 Main St",NULL,Rangpur,Bangladesh,Website
00c6c071_kama0951202311_c2270,00c6c071_kama0951202311,"2024-03-07 00:00:00",Pending,"Bank Transfer",22.76,12.05,29.79,"2024-03-10 00:00:00","2024-03-18 00:00:00","17 Main St",NULL,Rangpur,Bangladesh,"Social Media"
00c6c071_kama0951202311_c4231,00c6c071_kama0951202311,"2023-09-29 00:00:00",Shipped,"Cash on Delivery",1.06,6.40,19.91,"2023-10-05 00:00:00","2023-10-09 00:00:00","73 Main St",NULL,Rangpur,Bangladesh,"Social Media"
00c6c071_kama0951202311_cf6ac,00c6c071_kama0951202311,"2024-01-04 00:00:00",Delivered,"Bank Transfer",9.12,11.46,35.37,"2024-01-10 00:00:00","2024-01-16 00:00:00","42 Main St",NULL,Rangpur,Bangladesh,Website
00c6c071_kama0951202311_df204,00c6c071_kama0951202311,"2023-06-11 00:00:00",Pending,"Credit Card",10.77,18.75,15.39,"2023-06-17 00:00:00","2023-06-24 00:00:00","31 Main St",NULL,Rangpur,Bangladesh,"Social Media"
00c6c071_kama0951202311_f40e4,00c6c071_kama0951202311,"2023-05-06 00:00:00",Shipped,"Bank Transfer",9.12,14.56,45.97,"2023-05-12 00:00:00","2023-05-12 00:00:00","25 Main St",NULL,Rangpur,Bangladesh,Website
01547c35_oliv4741202204_04a28,01547c35_oliv4741202204,"2024-04-06 00:00:00",Shipped,"Bank Transfer",15.80,19.37,11.52,"2024-04-08 00:00:00","2024-04-18 00:00:00","95 Main St",NULL,Pennsylvania,USA,"Social Media"
01547c35_oliv4741202204_1a449,01547c35_oliv4741202204,"2024-03-31 00:00:00",Returned,"Cash on Delivery",28.54,16.90,33.73,"2024-04-05 00:00:00","2024-04-14 00:00:00","48 Main St",NULL,Pennsylvania,USA,Website
01547c35_oliv4741202204_39931,01547c35_oliv4741202204,"2023-02-22 00:00:00",Pending,PayPal,43.43,9.31,15.13,"2023-02-28 00:00:00","2023-03-08 00:00:00","42 Main St",NULL,Pennsylvania,USA,Website
01547c35_oliv4741202204_7946e,01547c35_oliv4741202204,"2023-07-13 00:00:00",Pending,PayPal,37.36,8.06,16.11,"2023-07-19 00:00:00","2023-07-19 00:00:00","92 Main St",NULL,Pennsylvania,USA,Website
01547c35_oliv4741202204_7b965,01547c35_oliv4741202204,"2024-01-10 00:00:00",Delivered,"Credit Card",7.65,19.93,48.14,"2024-01-13 00:00:00","2024-01-18 00:00:00","90 Main St",NULL,Pennsylvania,USA,Website
01547c35_oliv4741202204_92abe,01547c35_oliv4741202204,"2023-09-19 00:00:00",Shipped,"Cash on Delivery",31.57,15.48,27.23,"2023-09-23 00:00:00","2023-09-27 00:00:00","82 Main St",NULL,Pennsylvania,USA,Website
01547c35_oliv4741202204_9da45,01547c35_oliv4741202204,"2023-06-25 00:00:00",Pending,"Bank Transfer",30.78,18.53,34.05,"2023-07-01 00:00:00","2023-07-07 00:00:00","65 Main St",NULL,Pennsylvania,USA,"Mobile App"
01547c35_oliv4741202204_b5e69,01547c35_oliv4741202204,"2024-01-17 00:00:00",Pending,"Bank Transfer",2.88,12.64,19.99,"2024-01-20 00:00:00","2024-01-27 00:00:00","65 Main St",NULL,Pennsylvania,USA,"Mobile App"
01547c35_oliv4741202204_c863d,01547c35_oliv4741202204,"2024-03-22 00:00:00",Delivered,"Cash on Delivery",22.66,10.59,44.11,"2024-03-28 00:00:00","2024-04-02 00:00:00","52 Main St",NULL,Pennsylvania,USA,"Social Media"
01547c35_oliv4741202204_e9a8c,01547c35_oliv4741202204,"2023-08-04 00:00:00",Returned,"Cash on Delivery",12.98,15.23,45.51,"2023-08-11 00:00:00","2023-08-13 00:00:00","83 Main St",NULL,Pennsylvania,USA,Website
01547c35_oliv4741202204_ea5c6,01547c35_oliv4741202204,"2023-05-26 00:00:00",Delivered,PayPal,38.13,7.69,16.84,"2023-06-02 00:00:00","2023-06-07 00:00:00","77 Main St",NULL,Pennsylvania,USA,"Social Media"
01547c35_oliv4741202204_f84cf,01547c35_oliv4741202204,"2023-01-17 00:00:00",Delivered,"Credit Card",42.42,11.86,43.52,"2023-01-23 00:00:00","2023-01-21 00:00:00","34 Main St",NULL,Pennsylvania,USA,"Mobile App"
01547c35_oliv4741202204_f85aa,01547c35_oliv4741202204,"2023-10-02 00:00:00",Delivered,"Cash on Delivery",15.42,9.13,44.70,"2023-10-07 00:00:00","2023-10-05 00:00:00","78 Main St",NULL,Pennsylvania,USA,"Mobile App"
01a09241_tahm5937202212_09750,01a09241_tahm5937202212,"2023-12-20 00:00:00",Pending,"Bank Transfer",0.21,19.32,45.15,"2023-12-26 00:00:00","2023-12-30 00:00:00","87 Main St",NULL,Sylhet,Bangladesh,"Social Media"
01a09241_tahm5937202212_1bd70,01a09241_tahm5937202212,"2023-10-21 00:00:00",Pending,"Cash on Delivery",7.55,14.62,37.48,"2023-10-22 00:00:00","2023-10-28 00:00:00","22 Main St",NULL,Sylhet,Bangladesh,"Social Media"
01a09241_tahm5937202212_1e7e2,01a09241_tahm5937202212,"2023-04-18 00:00:00",Pending,"Cash on Delivery",11.00,9.45,17.53,"2023-04-22 00:00:00","2023-05-01 00:00:00","77 Main St",NULL,Sylhet,Bangladesh,Website
01a09241_tahm5937202212_3b654,01a09241_tahm5937202212,"2023-01-22 00:00:00",Delivered,PayPal,21.49,10.92,42.10,"2023-01-23 00:00:00","2023-02-01 00:00:00","14 Main St",NULL,Sylhet,Bangladesh,Website
01a09241_tahm5937202212_3be8b,01a09241_tahm5937202212,"2023-01-04 00:00:00",Delivered,PayPal,49.31,14.21,32.57,"2023-01-05 00:00:00","2023-01-16 00:00:00","57 Main St",NULL,Sylhet,Bangladesh,Website
01a09241_tahm5937202212_6b9bf,01a09241_tahm5937202212,"2023-11-03 00:00:00",Pending,"Cash on Delivery",28.45,15.46,35.06,"2023-11-08 00:00:00","2023-11-06 00:00:00","100 Main St",NULL,Sylhet,Bangladesh,"Mobile App"
01a09241_tahm5937202212_8a5d9,01a09241_tahm5937202212,"2023-01-19 00:00:00",Delivered,"Credit Card",43.18,5.29,33.93,"2023-01-22 00:00:00","2023-01-28 00:00:00","20 Main St",NULL,Sylhet,Bangladesh,"Social Media"
01a09241_tahm5937202212_bbe70,01a09241_tahm5937202212,"2023-09-05 00:00:00",Pending,PayPal,21.23,17.02,20.10,"2023-09-12 00:00:00","2023-09-19 00:00:00","95 Main St",NULL,Sylhet,Bangladesh,Website
01a09241_tahm5937202212_c89e5,01a09241_tahm5937202212,"2023-06-22 00:00:00",Delivered,"Credit Card",11.86,17.80,25.21,"2023-06-27 00:00:00","2023-06-30 00:00:00","19 Main St",NULL,Sylhet,Bangladesh,"Mobile App"
01a09241_tahm5937202212_ce1ec,01a09241_tahm5937202212,"2023-02-21 00:00:00",Shipped,PayPal,38.33,10.07,23.89,"2023-02-24 00:00:00","2023-03-02 00:00:00","86 Main St",NULL,Sylhet,Bangladesh,"Social Media"
01a09241_tahm5937202212_e1e3d,01a09241_tahm5937202212,"2023-03-30 00:00:00",Cancelled,"Credit Card",37.44,6.89,36.46,"2023-03-31 00:00:00","2023-04-13 00:00:00","52 Main St",NULL,Sylhet,Bangladesh,"Mobile App"
01b2a60c_mia.2242202303_14dd7,01b2a60c_mia.2242202303,"2023-09-30 00:00:00",Shipped,"Cash on Delivery",7.59,14.14,40.78,"2023-10-04 00:00:00","2023-10-03 00:00:00","48 Main St",NULL,Quebec,Canada,Website
01b2a60c_mia.2242202303_44bce,01b2a60c_mia.2242202303,"2023-08-09 00:00:00",Returned,"Bank Transfer",19.24,16.03,17.66,"2023-08-13 00:00:00","2023-08-21 00:00:00","3 Main St",NULL,Quebec,Canada,Website
01b2a60c_mia.2242202303_4a76c,01b2a60c_mia.2242202303,"2023-05-30 00:00:00",Delivered,"Bank Transfer",32.73,8.40,45.82,"2023-06-03 00:00:00","2023-06-13 00:00:00","47 Main St",NULL,Quebec,Canada,Website
01b2a60c_mia.2242202303_7b28f,01b2a60c_mia.2242202303,"2023-08-24 00:00:00",Shipped,PayPal,24.32,6.87,10.43,"2023-08-29 00:00:00","2023-08-30 00:00:00","31 Main St",NULL,Quebec,Canada,Website
01b2a60c_mia.2242202303_9c87f,01b2a60c_mia.2242202303,"2024-03-20 00:00:00",Cancelled,"Bank Transfer",43.40,8.07,39.10,"2024-03-21 00:00:00","2024-03-31 00:00:00","18 Main St",NULL,Quebec,Canada,Website
01b2a60c_mia.2242202303_9cb96,01b2a60c_mia.2242202303,"2023-06-28 00:00:00",Returned,PayPal,20.39,8.26,40.11,"2023-07-04 00:00:00","2023-07-02 00:00:00","75 Main St",NULL,Quebec,Canada,Website
01b2a60c_mia.2242202303_a1458,01b2a60c_mia.2242202303,"2024-02-23 00:00:00",Shipped,"Cash on Delivery",37.68,16.62,21.09,"2024-02-29 00:00:00","2024-02-27 00:00:00","70 Main St",NULL,Quebec,Canada,"Mobile App"
01b2a60c_mia.2242202303_ac299,01b2a60c_mia.2242202303,"2023-06-26 00:00:00",Pending,"Cash on Delivery",8.34,12.38,7.46,"2023-06-30 00:00:00","2023-07-05 00:00:00","53 Main St",NULL,Quebec,Canada,"Social Media"
01b2a60c_mia.2242202303_c91e9,01b2a60c_mia.2242202303,"2023-02-23 00:00:00",Returned,"Credit Card",9.78,15.58,32.03,"2023-02-27 00:00:00","2023-03-09 00:00:00","43 Main St",NULL,Quebec,Canada,"Mobile App"
01b2a60c_mia.2242202303_cb593,01b2a60c_mia.2242202303,"2023-06-14 00:00:00",Cancelled,"Bank Transfer",1.80,10.43,9.09,"2023-06-19 00:00:00","2023-06-21 00:00:00","63 Main St",NULL,Quebec,Canada,"Mobile App"
01b68f76_sofi8707202303_1ddcd,01b68f76_sofi8707202303,"2024-04-16 00:00:00",Delivered,"Cash on Delivery",13.88,18.67,44.42,"2024-04-19 00:00:00","2024-04-30 00:00:00","22 Main St",NULL,Emilia-Romagna,Italy,"Mobile App"
01b68f76_sofi8707202303_1e39c,01b68f76_sofi8707202303,"2024-02-18 00:00:00",Shipped,PayPal,34.67,7.75,21.56,"2024-02-20 00:00:00","2024-02-22 00:00:00","23 Main St",NULL,Emilia-Romagna,Italy,Website
01b68f76_sofi8707202303_1f930,01b68f76_sofi8707202303,"2023-03-17 00:00:00",Returned,"Credit Card",5.29,13.09,40.37,"2023-03-18 00:00:00","2023-03-25 00:00:00","46 Main St",NULL,Emilia-Romagna,Italy,Website
01b68f76_sofi8707202303_508d1,01b68f76_sofi8707202303,"2023-08-27 00:00:00",Pending,"Credit Card",8.96,11.96,25.14,"2023-08-30 00:00:00","2023-09-02 00:00:00","86 Main St",NULL,Emilia-Romagna,Italy,Website
01b68f76_sofi8707202303_510d4,01b68f76_sofi8707202303,"2024-03-21 00:00:00",Cancelled,"Cash on Delivery",18.46,13.88,18.39,"2024-03-28 00:00:00","2024-03-29 00:00:00","38 Main St",NULL,Emilia-Romagna,Italy,"Mobile App"
01b68f76_sofi8707202303_6bd4c,01b68f76_sofi8707202303,"2024-02-20 00:00:00",Cancelled,"Credit Card",3.72,18.23,33.76,"2024-02-22 00:00:00","2024-03-03 00:00:00","24 Main St",NULL,Emilia-Romagna,Italy,Website
01b68f76_sofi8707202303_75a3c,01b68f76_sofi8707202303,"2023-03-27 00:00:00",Delivered,PayPal,18.34,19.13,44.51,"2023-03-31 00:00:00","2023-04-04 00:00:00","25 Main St",NULL,Emilia-Romagna,Italy,Website
